indicator,watpol,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind6,NO3_GW,MG_L,AT,25.33 ,25.61 ,25.52 ,25.48 ,26.10 ,25.53 ,25.95 ,24.60 ,23.76 ,24.45 ,25.06 ,24.70 ,23.66 ,24.23 ,23.94 ,23.62 ,22.82 ,22.53 ,21.92 ,21.80 ,21.12 
ind6,NO3_GW,MG_L,BE,27.91 ,26.79 ,26.96 ,27.90 ,27.65 ,30.25 ,32.37 ,31.36 ,32.73 ,31.01 ,30.19 ,29.65 ,29.87 ,28.50 ,28.22 ,27.90 ,30.34 ,29.38 ,28.63 ,28.25 ,28.65 
ind6,NO3_GW,MG_L,BG,29.52 ,26.73 ,24.10 ,26.11 ,23.57 ,24.34 ,25.78 ,26.00 ,25.82 ,27.99 ,25.13 ,25.09 ,28.05 ,28.31 ,26.23 ,31.26 ,32.76 ,29.68 ,29.79 ,29.54 ,30.51 
ind6,NO3_GW,MG_L,CH,15.72 ,15.72 ,15.71 ,15.50 ,16.69 ,16.37 ,17.09 ,16.50 ,15.86 ,15.80 ,15.69 ,15.26 ,15.13 ,16.14 ,15.23 ,14.76 ,14.70 ,13.92 ,13.91 ,14.27 ,14.65 
ind6,NO3_GW,MG_L,CY,14.65 ,16.08 ,12.79 ,18.91 ,22.18 ,27.68 ,30.14 ,38.25 ,37.05 ,41.58 ,47.38 ,39.14 ,41.16 ,43.57 ,62.50 ,70.48 ,97.64 ,51.85 ,55.27 ,48.84 ,7.84 
ind6,NO3_GW,MG_L,CZ,23.11 ,20.78 ,19.69 ,20.02 ,19.60 ,20.17 ,20.43 ,20.91 ,19.22 ,18.65 ,19.63 ,19.16 ,19.25 ,18.64 ,18.61 ,18.15 ,18.67 ,18.38 ,18.08 ,17.67 ,18.71 
ind6,NO3_GW,MG_L,DE,25.13 ,25.33 ,24.90 ,24.36 ,24.21 ,24.74 ,23.60 ,22.76 ,24.96 ,23.98 ,25.02 ,23.86 ,23.85 ,24.87 ,25.88 ,26.90 ,27.92 ,27.31 ,27.14 ,26.30 ,25.10 
ind6,NO3_GW,MG_L,EE,4.13 ,3.11 ,2.52 ,3.61 ,1.75 ,3.12 ,3.65 ,3.31 ,5.41 ,4.60 ,3.55 ,4.27 ,5.62 ,5.32 ,5.04 ,4.52 ,4.56 ,4.17 ,4.83 ,5.04 ,5.50 
ind6,NO3_GW,MG_L,EU_V,22.81 ,22.82 ,22.28 ,22.59 ,22.50 ,22.78 ,22.68 ,24.01 ,24.05 ,23.42 ,23.53 ,23.25 ,23.18 ,23.26 ,23.44 ,23.32 ,23.54 ,22.95 ,25.45 ,21.04 ,20.75 
ind6,NO3_GW,MG_L,FR,21.95 ,22.61 ,22.08 ,22.60 ,22.50 ,22.61 ,22.50 ,25.12 ,25.57 ,24.87 ,24.54 ,24.58 ,24.22 ,24.06 ,23.68 ,22.66 ,22.40 ,22.14 ,27.89 ,18.87 ,19.18 
ind6,NO3_GW,MG_L,IE,15.91 ,15.93 ,16.67 ,16.65 ,17.15 ,16.74 ,16.89 ,16.85 ,13.27 ,11.05 ,13.55 ,13.47 ,11.84 ,11.86 ,14.25 ,14.21 ,12.67 ,12.83 ,12.78 ,14.42 ,13.85 
ind6,NO3_GW,MG_L,LV,0.70 ,0.72 ,1.14 ,1.41 ,2.18 ,1.81 ,0.70 ,5.39 ,3.60 ,5.56 ,2.49 ,2.98 ,3.47 ,3.96 ,7.04 ,4.16 ,4.25 ,5.86 ,3.85 ,4.69 ,3.93 
ind6,NO3_GW,MG_L,MT,51.11 ,51.11 ,51.11 ,49.18 ,53.99 ,54.64 ,54.92 ,51.58 ,48.32 ,53.04 ,57.76 ,62.49 ,63.63 ,59.75 ,59.80 ,59.85 ,59.90 ,59.95 ,53.38 ,59.43 ,59.43 
ind6,NO3_GW,MG_L,PT,24.01 ,20.09 ,24.42 ,26.66 ,18.47 ,18.85 ,22.36 ,20.72 ,18.05 ,18.20 ,23.02 ,18.52 ,20.46 ,17.33 ,14.88 ,16.76 ,19.32 ,18.46 ,18.28 ,18.45 ,21.93 
ind6,NO3_GW,MG_L,RS,4.84 ,4.84 ,4.84 ,4.84 ,2.78 ,5.15 ,7.08 ,3.38 ,4.15 ,3.80 ,2.36 ,2.47 ,1.90 ,5.20 ,8.43 ,13.10 ,16.89 ,11.58 ,7.56 ,7.56 ,11.61 
ind6,NO3_GW,MG_L,SI,15.00 ,17.21 ,18.80 ,16.58 ,17.68 ,17.71 ,18.92 ,14.50 ,14.90 ,14.80 ,14.09 ,13.84 ,13.57 ,14.86 ,13.85 ,12.84 ,14.18 ,13.31 ,14.38 ,12.58 ,12.45 
ind6,NO3_GW,MG_L,SK,19.39 ,19.33 ,13.97 ,13.88 ,20.82 ,18.89 ,20.26 ,18.60 ,18.83 ,18.90 ,23.99 ,14.79 ,15.85 ,19.89 ,17.84 ,19.50 ,16.47 ,16.16 ,18.25 ,16.19 ,18.62 
